pair_index,environment,batch_index,index_in_batch,network_record,target_original_q,target_counterfactual_q,target_delta_q_wrapped,target_delta_l2_rad,ordinary_pred_original_q,ordinary_pred_counterfactual_q,ordinary_pred_delta_q_wrapped,ordinary_pred_delta_l2_rad,ordinary_pred_required_ratio,ordinary_direction_cosine,ordinary_original_scene_error_l2_rad,ordinary_counterfactual_scene_error_l2_rad,ordinary_cf_prediction_to_original_target_l2_rad,ordinary_cf_prediction_closer_to_cf_target,cftrained_pred_original_q,cftrained_pred_counterfactual_q,cftrained_pred_delta_q_wrapped,cftrained_pred_delta_l2_rad,cftrained_pred_required_ratio,cftrained_direction_cosine,cftrained_original_scene_error_l2_rad,cftrained_counterfactual_scene_error_l2_rad,cftrained_cf_prediction_to_original_target_l2_rad,cftrained_cf_prediction_closer_to_cf_target
36,292,0,253,6,-0.657722771168 1.46712231636 -0.703877270222 -1.57267963886 -1.50338304043 1.42143726349 -2.85877561569,-0.628939330578 1.50018119812 -0.627954959869 -1.55414068699 -1.47794294357 1.45269024372 -2.86728477478,0.0287834405899 0.0330588817596 0.0759223103523 0.0185389518738 0.0254400968552 0.0312529802322 -0.00850915908813,0.09861855378673831,-0.65749001503 1.45337760448 -0.763945519924 -1.62985813618 -1.59255576134 1.42253267765 -2.79087519646,-0.657501220703 1.45337450504 -0.76393789053 -1.62983763218 -1.59255850315 1.422524333 -2.79086995125,-1.12056732178e-05 -3.09944152832e-06 7.62939453125e-06 2.05039978027e-05 -2.74181365967e-06 -8.34465026855e-06 5.24520874023e-06,2.6804070247566278e-05,0.00027179540987317487,0.06021932475478137,0.14010705719651664,0.21705751990861274,0.1400999280795974,0,-0.6893055439 1.48325502872 -0.719434082508 -1.55157124996 -1.60166454315 1.37747347355 -2.76574110985,-0.68796813488 1.4821010828 -0.717391192913 -1.55058324337 -1.59996926785 1.37790894508 -2.76533007622,0.00133740901947 -0.00115394592285 0.00204288959503 0.000988006591797 0.0016952753067 0.000435471534729 0.000411033630371,0.0033915116791066375,0.03439019889138457,0.6787081260980243,0.14897248844439923,0.20664029736156916,0.14753204718965462,0
37,292,1,10,6,0.0966925472021 0.950962901115 0.235706150532 -0.411835491657 -0.345801830292 -0.164125427604 1.82757079601,0.118928827345 0.945451498032 0.246353074908 -0.502226889133 -0.348648190498 -0.14930921793 1.83881092072,0.0222362801433 -0.0055114030838 0.0106469243765 -0.0903913974762 -0.0028463602066 0.0148162096739 0.0112401247025,0.09572226331315477,0.0986389815807 0.926920115948 0.162397429347 -0.423084616661 -0.451941400766 -0.135638162494 1.80237531662,0.0986387431622 0.926910102367 0.162392184138 -0.423091381788 -0.451936990023 -0.135629817843 1.80235624313,-2.38418579102e-07 -1.00135803223e-05 -5.24520874023e-06 -6.76512718201e-06 4.41074371338e-06 8.34465026855e-06 -1.90734863281e-05,2.5029852650893847e-05,0.0002614841290265865,0.20962539624345938,0.13709303562300926,0.16202461597700046,0.1370999749122248,0,0.0879932790995 0.942526519299 0.155642583966 -0.424596726894 -0.441147238016 -0.164434164762 1.70764970779,0.0884155184031 0.941760480404 0.155806258321 -0.424807965755 -0.440624386072 -0.164879351854 1.70740199089,0.000422239303589 -0.000766038894653 0.000163674354553 -0.000211238861084 0.00052285194397 -0.000445187091827 -0.000247716903687,0.0011702316586052767,0.012225281957415396,0.21049625336678746,0.17375782892280092,0.202749741763658,0.17360270396306648,0
38,292,1,33,6,0.224191769958 1.22570598125 -0.893075883389 -0.143557101488 0.479143917561 0.699164569378 0.214921146631,0.272313475609 1.23220026493 -0.828453779221 -0.190669387579 0.502074301243 0.65836161375 0.224364683032,0.0481217056513 0.00649428367615 0.0646221041679 -0.0471122860909 0.0229303836823 -0.0408029556274 0.00944353640079,0.10503962198407034,0.295092076063 1.1986900568 -0.883227527142 -0.128534063697 0.455179899931 0.703399002552 0.208657443523,0.295088261366 1.19868218899 -0.88321775198 -0.128523752093 0.455181449652 0.703393280506 0.208638370037,-3.81469726562e-06 -7.86781311035e-06 9.77516174316e-06 1.03116035461e-05 1.54972076416e-06 -5.72204589844e-06 -1.90734863281e-05,2.6024578336362938e-05,0.0002477596343626376,4.1582009271193896e-05,0.08191967960805294,0.11391853433505313,0.08192275226830474,0,0.38056203723 1.25795924664 -0.844305336475 -0.0948929190636 0.516729414463 0.67364346981 0.142871633172,0.381172209978 1.25672221184 -0.844571948051 -0.0954145789146 0.516838133335 0.673236250877 0.142937675118,0.000610172748566 -0.00123703479767 -0.00026661157608 -0.000521659851074 0.00010871887207 -0.000407218933105 6.60419464111e-05,0.0015581351667192443,0.01483378497835361,0.2957784614582535,0.19363323837075003,0.16986585017064645,0.19377809759029305,1
39,292,1,62,6,0.235965684056 0.383120775223 -2.76878476143 -1.67677354813 1.60103809834 1.63018798828 -1.50678217411,0.185828194022 0.354248911142 -2.78245139122 -1.66045022011 1.58928382397 1.63094317913 -1.44049489498,-0.0501374900341 -0.0288718640804 -0.0136666297913 0.0163233280182 -0.0117542743683 0.000755190849304 0.066287279129,0.09128700292655492,0.259350031614 0.420842081308 -2.79362559319 -1.71290433407 1.63803040981 1.59670984745 -1.4983818531,0.259316653013 0.420864731073 -2.79362773895 -1.71280920506 1.63805603981 1.59668505192 -1.4983651638,-3.33786010742e-05 2.26497650146e-05 -2.14576721191e-06 9.51290130615e-05 2.56299972534e-05 -2.47955322266e-05 1.66893005371e-05,0.00011059622162580656,0.001211522101506464,0.3355811786286269,0.08032439027870301,0.1400211107482229,0.08030714075065798,0,0.249043896794 0.452047586441 -2.6983730793 -1.61627972126 1.79572927952 1.57734048367 -1.56484508514,0.248977407813 0.455892026424 -2.69692611694 -1.61548984051 1.79117918015 1.58669579029 -1.57285070419,-6.64889812469e-05 0.00384443998337 0.00144696235657 0.000789880752563 -0.00455009937286 0.00935530662537 -0.00800561904907,0.01377740374495004,0.15092404508048826,-0.46487055615299333,0.24001681073305134,0.2896425052684176,0.2383161146640365,0
40,292,1,66,6,0.471323996782 1.03037750721 -0.549230992794 1.76311266422 -1.28522360325 0.538541734219 0.249241992831,0.473143994808 1.04768955708 -0.514839172363 1.7937579155 -1.32935035229 0.517511188984 0.280260831118,0.00181999802589 0.0173120498657 0.0343918204308 0.0306452512741 -0.0441267490387 -0.0210305452347 0.0310188382864,0.07600375216916581,0.434060066938 1.01452958584 -0.634029328823 1.75383114815 -1.27326834202 0.498393833637 0.187529265881,0.434044092894 1.01447308064 -0.634075582027 1.75378406048 -1.27325165272 0.498367130756 0.187471091747,-1.59740447998e-05 -5.65052032471e-05 -4.62532043457e-05 -4.70876693726e-05 1.66893005371e-05 -2.67028808594e-05 -5.81741333008e-05,0.00011036494916570503,0.001452098692707428,-0.7177269451232084,0.12033247389221587,0.1748452513016691,0.12042150876074154,0,0.399289995432 1.04947245121 -0.573761105537 1.77319908142 -1.23868429661 0.513450860977 0.185151591897,0.400952965021 1.052967906 -0.568290829659 1.77794003487 -1.23779666424 0.515626490116 0.184849992394,0.00166296958923 0.00349545478821 0.00547027587891 0.00474095344543 0.000887632369995 0.00217562913895 -0.000301599502563,0.008543795727233053,0.11241281493861839,0.46612361680188436,0.11471710837768369,0.1607344045169817,0.11386961493963223,0
41,292,1,100,6,0.613718092442 1.34362769127 -1.63315856457 0.975867092609 0.105978004634 0.0224111787975 2.3087553978,0.67732000351 1.31993114948 -1.60675632954 0.953421056271 0.131477072835 0.00487112347037 2.33314371109,0.063601911068 -0.0236965417862 0.0264022350311 -0.0224460363388 0.0254990682006 -0.0175400553271 0.0243883132935,0.08579206018834254,0.619064450264 1.33672749996 -1.63390779495 0.995841622353 0.0230161771178 0.014433933422 2.34244298935,0.619024038315 1.33665668964 -1.63391256332 0.995774269104 0.0230476483703 0.0144413243979 2.34236288071,-4.04119491577e-05 -7.08103179932e-05 -4.76837158203e-06 -6.73532485962e-05 3.14712524414e-05 7.39097595215e-06 -8.01086425781e-05,0.00013663412862271698,0.001592619740367103,-0.06716060737441905,0.09250348350177172,0.1346957343291186,0.09243396341268682,0,0.649409174919 1.40087521076 -1.61554098129 1.01830410957 0.0538643226027 -0.00459309760481 2.27112174034,0.650300621986 1.40024769306 -1.61347341537 1.01760840416 0.0550604686141 -0.00396903697401 2.2705681324,0.000891447067261 -0.000627517700195 0.00206756591797 -0.000695705413818 0.00119614601135 0.000624060630798 -0.000553607940674,0.0028414767092327987,0.03312050908900891,0.6063961514612668,0.10734882616106434,0.14553102042942087,0.10686780037297014,0
42,292,1,107,6,-1.91054844856 0.338077634573 2.12489438057 -0.637789368629 -2.41910600662 -0.42228770256 0.961535334587,-1.84440732002 0.293876737356 2.06224370003 -0.563196539879 -2.48805141449 -0.461689531803 0.9149928689,0.06614112854 -0.0442008972168 -0.062650680542 0.0745928287506 -0.0689454078674 -0.0394018292427 -0.0465424656868,0.1558516621618041,-1.84572017193 0.343336731195 2.14761590958 -0.642258167267 -2.48522186279 -0.488358438015 0.988805949688,-1.8457326889 0.34337630868 2.14768481255 -0.642255425453 -2.48522520065 -0.488378703594 0.988796889782,-1.25169754028e-05 3.95774841309e-05 6.89029693604e-05 2.74181365967e-06 -3.33786010742e-06 -2.02655792236e-05 -9.05990600586e-06,8.355899449121249e-05,0.0005361443909687798,-0.40231292796552426,0.11936053183103194,0.14889522535775995,0.11937951553438352,0,-1.83739674091 0.347999930382 2.19997477531 -0.599139630795 -2.53618383408 -0.477398246527 0.929988622665,-1.83674776554 0.349853157997 2.19969248772 -0.59827798605 -2.538418293 -0.477083534002 0.929975271225,0.000648975372314 0.00185322761536 -0.000282287597656 0.000861644744873 -0.00223445892334 0.000314712524414 -1.33514404297e-05,0.003125662889120637,0.020055370894123643,0.3802697445589529,0.17412661188474193,0.16221336467509453,0.17599759196039433,1
43,292,1,112,6,-0.27786976099 1.01775503159 -1.05645120144 -0.797796845436 2.72804307938 0.86517983675 1.13740575314,-0.27863073349 0.971570134163 -1.05215370655 -0.855862915516 2.74489068985 0.896781027317 1.18042230606,-0.000760972499847 -0.0461848974228 0.00429749488831 -0.0580660700798 0.0168476104736 0.031601190567 0.0430165529251,0.09304118354476047,-0.331002265215 1.0149513483 -1.06512737274 -0.809270203114 2.58514428139 0.881150066853 1.11100077629,-0.3309879601 1.01487886906 -1.06515622139 -0.809288799763 2.58511090279 0.881149113178 1.11092066765,1.43051147461e-05 -7.24792480469e-05 -2.88486480713e-05 -1.85966491699e-05 -3.33786010742e-05 -9.53674316406e-07 -8.01086425781e-05,0.00011903105763334618,0.0012793373116979153,0.022928982546555288,0.15623755965957117,0.19380287454652076,0.15628097268009195,0,-0.40348264575 1.02797269821 -0.958435595036 -0.788846194744 2.70427846909 0.873320758343 1.08174848557,-0.40408706665 1.03383755684 -0.95700520277 -0.789099812508 2.70465040207 0.877699494362 1.08044528961,-0.000604420900345 0.00586485862732 0.00143039226532 -0.000253617763519 0.000371932983398 0.00437873601913 -0.00130319595337,0.007608036429208159,0.08177063252369385,-0.22738060932939252,0.17116931242329583,0.21238140839147646,0.1735023183787187,0
44,292,1,133,6,0.389409482479 0.650967359543 2.13573598862 -1.44207322598 -2.91270422935 -0.186800971627 2.34412431717,0.357143700123 0.63299125433 2.16144013405 -1.44800031185 -2.93523192406 -0.232752159238 2.33221125603,-0.0322657823563 -0.0179761052132 0.0257041454315 -0.00592708587646 -0.0225276947021 -0.0459511876106 -0.011913061142,0.06943330761414548,0.394671648741 0.644686877728 2.14103913307 -1.46388244629 -2.88363552094 -0.21736304462 2.35490632057,0.394639462233 0.644695460796 2.141020298 -1.46379208565 -2.88361978531 -0.217398330569 2.35486507416,-3.21865081787e-05 8.58306884766e-06 -1.8835067749e-05 9.03606414795e-05 1.57356262207e-05 -3.5285949707e-05 -4.12464141846e-05,0.00011324054286185404,0.0016309253692932788,0.20639732074235054,0.04966066843663819,0.07498012300432313,0.049636572339998124,0,0.38988378644 0.657964468002 2.19250822067 -1.44871234894 -2.78606510162 -0.186810940504 2.26949286461,0.395475655794 0.657705187798 2.19562482834 -1.44913816452 -2.78522276878 -0.182173997164 2.26618504524,0.00559186935425 -0.000259280204773 0.00311660766602 -0.000425815582275 0.000842332839966 0.0046369433403 -0.00330781936646,0.008624571204940463,0.12421374555377511,-0.4772189594262727,0.15787232582231778,0.18074944818921493,0.16145044149429166,0
45,292,1,134,6,1.32432305813 2.03992605209 -1.68089306355 2.43386816978 0.230419620872 0.0457066819072 -2.28850007057,1.28531193733 2.02774691582 -1.61775779724 2.42363166809 0.252896368504 0.0700909122825 -2.35693335533,-0.0390111207962 -0.0121791362762 0.063135266304 -0.0102365016937 0.022476747632 0.0243842303753 -0.0684332847595,0.10744280367945916,1.38013410568 2.0721039772 -1.67201066017 2.43441677094 0.114500246942 0.0395417958498 -2.27287316322,1.38014483452 2.07209968567 -1.67200350761 2.4343829155 0.114501439035 0.039557531476 -2.27288031578,1.07288360596e-05 -4.29153442383e-06 7.15255737305e-06 -3.38554382324e-05 1.19209289551e-06 1.57356262207e-05 -7.15255737305e-06,4.038644649869589e-05,0.0003758878688533045,0.3069278872174058,0.13397386779502551,0.20290143001155145,0.13397505833422454,0,1.43046855927 2.01350641251 -1.67535352707 2.47456359863 0.147121042013 0.0587444677949 -2.32158136368,1.43114042282 2.01430153847 -1.67716622353 2.47572445869 0.146515458822 0.0594080463052 -2.32290577888,0.000671863555908 0.000795125961304 -0.00181269645691 0.00116086006165 -0.000605583190918 0.000663578510284 -0.00132441520691,0.0028771919540478076,0.026778824225692346,-0.2232657020454706,0.14783327844321936,0.20069539812240875,0.14914352790645377,0
46,292,1,136,6,2.5531308651 -0.215668126941 -0.469587117434 -1.61324572563 -0.311707556248 -0.784722268581 -0.20737503469,2.53799128532 -0.184902831912 -0.536109387875 -1.60685884953 -0.293451547623 -0.796581625938 -0.225613355637,-0.0151395797729 0.0307652950287 -0.0665222704411 0.00638687610626 0.018256008625 -0.011859357357 -0.0182383209467,0.08030116726254152,2.51573586464 -0.244592279196 -0.448774784803 -1.61550760269 -0.399864345789 -0.821202933788 -0.22194224596,2.51575636864 -0.244601815939 -0.448779553175 -1.61553776264 -0.399862080812 -0.821197926998 -0.22194224596,2.05039978027e-05 -9.53674316406e-06 -4.76837158203e-06 -3.01599502563e-05 2.26497650146e-06 5.00679016113e-06 0,3.83916843776269e-05,0.0004780962181048601,-0.16130135430219575,0.10948937866571758,0.1539572170225286,0.1094811262779023,0,2.5256960392 -0.181598767638 -0.40355437994 -1.62526893616 -0.380068689585 -0.822800636292 -0.30985185504,2.52395272255 -0.18233679235 -0.402859032154 -1.62632155418 -0.379862219095 -0.821575403214 -0.311460226774,-0.00174331665039 -0.000738024711609 0.00069534778595 -0.00105261802673 0.000206470489502 0.001225233078 -0.00160837173462,0.003050579038034146,0.03798922409260126,-0.12540021491566247,0.1517991313384072,0.18384585474525875,0.15304540286082013,0
47,292,1,152,6,0.438119590282 0.831359028816 2.79219508171 0.640216469765 0.129567161202 0.0628702193499 1.72139966488,0.461146175861 0.805357098579 2.80010533333 0.635304033756 0.160080373287 0.102988399565 1.74525976181,0.0230265855789 -0.0260019302368 0.00791025161743 -0.00491243600845 0.0305132120848 0.0401181802154 0.0238600969315,0.06635402662048828,0.452926009893 0.819691359997 2.75752711296 0.629645228386 0.0942917689681 0.0339923650026 1.77615046501,0.452927678823 0.819670379162 2.75749897957 0.62964373827 0.0942874774337 0.0339980870485 1.77612805367,1.66893005371e-06 -2.09808349609e-05 -2.8133392334e-05 -1.49011611938e-06 -4.29153442383e-06 5.72204589844e-06 -2.24113464355e-05,4.230976836947048e-05,0.0006376367874622156,-0.023999754346246783,0.08212744756217279,0.11027680548632396,0.08212769826137391,0,0.449581950903 0.863027274609 2.76045131683 0.695589601994 0.131802648306 0.0733927860856 1.70940828323,0.451302736998 0.860477089882 2.76165127754 0.694748699665 0.132999509573 0.0720296278596 1.70894622803,0.00172078609467 -0.00255018472672 0.00119996070862 -0.000840902328491 0.00119686126709 -0.00136315822601 -0.000462055206299,0.0038878968103242735,0.05859323101160222,0.35027999708822355,0.07394341709064267,0.10563134431644734,0.07196602516145278,0
48,292,1,193,6,-3.08635520935 -1.99024426937 2.94936084747 -1.25026965141 1.1448738575 0.895543038845 -1.05319726467,-3.10574197769 -1.95821833611 2.96050214767 -1.23149204254 1.12648868561 0.885549902916 -1.03856575489,-0.0193867683411 0.0320259332657 0.0111413002014 0.0187776088715 -0.0183851718903 -0.00999313592911 0.0146315097809,0.05030102129138096,-3.16499757767 -2.061221838 2.98513460159 -1.27017843723 1.09440648556 0.959770262241 -0.967216312885,-3.1649954319 -2.06122422218 2.98511648178 -1.27021634579 1.09440481663 0.959728300571 -0.967223465443,2.14576721191e-06 -2.38418579102e-06 -1.81198120117e-05 -3.79085540771e-05 -1.66893005371e-06 -4.19616699219e-05 -7.15255737305e-06,5.991995381761585e-05,0.0011912273802655987,-0.22770340700417144,0.16420528159912431,0.16687765907636898,0.1641862977478859,0,3.01537203789 -1.93700742722 3.02749252319 -1.26348173618 1.05119001865 0.81659078598 -1.29777932167,3.00696969032 -1.9387717247 3.03048467636 -1.26352214813 1.04467833042 0.819033145905 -1.29399871826,-0.0084023475647 -0.00176429748535 0.00299215316772 -4.04119491577e-05 -0.00651168823242 0.00244235992432 0.00378060340881,0.012055163694054573,0.23966041612201253,0.4775767221891999,0.3418637291585881,0.33425488221788985,0.3454436985836363,1
49,292,1,198,6,-3.00859236717 -1.70306921005 -1.11408483982 0.145579308271 -1.20529007912 -1.20421934128 -1.19395947456,-3.00750994682 -1.71977972984 -1.15915465355 0.137036219239 -1.1849193573 -1.17013597488 -1.13734030724,0.00108242034912 -0.0167105197906 -0.0450698137283 -0.00854308903217 0.020370721817 0.034083366394 0.0566191673279,0.08465847781648055,-3.09656214714 -1.76026570797 -1.10130167007 0.123013518751 -1.34821140766 -1.23637282848 -1.23105025291,-3.09646034241 -1.76025688648 -1.1012942791 0.123033426702 -1.34810233116 -1.23631560802 -1.23107790947,0.000101804733276 8.82148742676e-06 7.39097595215e-06 1.9907951355e-05 0.000109076499939 5.72204589844e-05 -2.76565551758e-05,0.0001637978150650331,0.0019348069949959156,0.148983858275994,0.18579242336063304,0.22997747517549005,0.18565132509537957,0,-3.09002733231 -1.70315933228 -1.08931624889 0.176321089268 -1.36381423473 -1.2238754034 -1.24797058105,-3.08630299568 -1.70441126823 -1.08862388134 0.175430476665 -1.36275947094 -1.2215089798 -1.25258874893,0.00372433662415 -0.00125193595886 0.000692367553711 -0.000890612602234 0.00105476379395 0.00236642360687 -0.0046181678772,0.006689585372942919,0.07901849342772675,-0.2789527318488035,0.19137311770565818,0.2458490145578132,0.19003428200956202,0
50,292,1,215,6,-1.488068223 0.20520837605 -1.75572144985 -0.743449926376 0.572593867779 0.113024353981 1.76618170738,-1.4857776165 0.187268048525 -1.7467880249 -0.777912735939 0.606713175774 0.130676716566 1.76046037674,0.00229060649872 -0.0179403275251 0.00893342494965 -0.0344628095627 0.0341193079948 0.0176523625851 -0.0057213306427,0.055705118807257474,-1.55519127846 0.183629900217 -1.83575296402 -0.771743953228 0.431413024664 0.108908250928 1.76731061935,-1.5551841259 0.18362107873 -1.8357462883 -0.771731138229 0.43141874671 0.108911827207 1.76729130745,7.15255737305e-06 -8.82148742676e-06 6.67572021484e-06 1.28149986267e-05 5.72204589844e-06 3.57627868652e-06 -1.93119049072e-05,2.74999708588549e-05,0.0004936704462296578,0.10542020276726642,0.1792400000501432,0.20983531065239283,0.17922867080303384,0,-1.5780479908 0.260359466076 -1.74541401863 -0.756079316139 0.403595536947 0.118965961039 1.68623709679,-1.57874417305 0.260516524315 -1.74462783337 -0.755936801434 0.404325097799 0.119091190398 1.68537592888,-0.000696182250977 0.000157058238983 0.000786185264587 0.000142514705658 0.000729560852051 0.000125229358673 -0.000861167907715,0.0015611810666886529,0.028025809837878963,0.3418499431750107,0.21538483059400182,0.24744405590011537,0.21550143584557788,0
51,292,1,229,6,2.0180182457 -0.256014972925 2.98726201057 1.34212875366 -0.110091462731 -0.597056150436 -2.46564817429,2.04320335388 -0.252168446779 3.01541256905 1.32837200165 -0.141312673688 -0.610243320465 -2.48533368111,0.0251851081848 0.00384652614594 0.0281505584717 -0.0137567520142 -0.0312212109566 -0.0131871700287 -0.0196855068207,0.056275858515584344,2.02349972725 -0.241827815771 2.92155003548 1.3345451355 -0.128566905856 -0.595677316189 -2.4057738781,2.02350115776 -0.24180778861 2.9215502739 1.33450698853 -0.12855951488 -0.595684468746 -2.40573978424,1.43051147461e-06 2.00271606445e-05 2.38418579102e-07 -3.81469726562e-05 7.39097595215e-06 -7.15255737305e-06 3.40938568115e-05,5.591563795219566e-05,0.0009935990214473773,-0.05181155182380124,0.0923854508589096,0.12670074950797694,0.09241209720953202,0,1.98863840103 -0.284279227257 2.93292427063 1.40499985218 -0.105336107314 -0.601950466633 -2.49472928047,1.98916530609 -0.285396575928 2.93335914612 1.40685641766 -0.106395877898 -0.60141313076 -2.49467849731,0.000526905059814 -0.00111734867096 0.000434875488281 0.00185656547546 -0.00105977058411 0.00053733587265 5.07831573486e-05,0.0025644632010597287,0.045569508288346376,0.14326492083696904,0.09726092139109933,0.13528217700218756,0.09831764989826239,0
52,292,2,0,6,-0.817071020603 0.699025988579 -1.91006565094 -0.917557537556 -0.932132124901 -0.194719657302 3.12088370323,-0.853845238686 0.677519261837 -1.82031261921 -0.796863734722 -1.00599050522 -0.247733056545 -3.11712360382,-0.0367742180824 -0.0215067267418 0.0897530317307 0.120693802834 -0.0738583803177 -0.0530133992434 0.045178000127,0.1863974669783617,-0.851644992828 0.660806596279 -1.9596722126 -0.867904067039 -1.0233925581 -0.222498819232 -3.08705592155,-0.851643800735 0.660808742046 -1.95967626572 -0.867907106876 -1.02339375019 -0.222495242953 -3.08705401421,1.19209289551e-06 2.14576721191e-06 -4.05311584473e-06 -3.03983688354e-06 -1.19209289551e-06 3.57627868652e-06 1.90734863281e-06,7.038649888357353e-06,3.77615104027913e-05,-0.6372245886746034,0.1494805031465828,0.1630873228845241,0.14948103757515402,0,-0.864554047585 0.700734257698 -1.95896661282 -0.805748403072 -0.992622315884 -0.262435942888 -3.15347695351,-0.864945471287 0.700493335724 -1.95880043507 -0.805748701096 -0.992550432682 -0.262668997049 -3.1529147625,-0.00039142370224 -0.000240921974182 0.000166177749634 -2.98023223877e-07 7.18832015991e-05 -0.000233054161072 0.000562191009521,0.0007838438705903509,0.004205228125129752,0.4578797479191005,0.15960130217250967,0.1469474937212218,0.15976860990188393,1
53,292,2,27,6,-2.99734258652 -0.598683238029 0.779419124126 0.375521183014 -0.677268445492 0.046786442399 0.913736522198,-2.97813773155 -0.551564276218 0.768998742104 0.395397484303 -0.698503613472 0.0852735638618 0.91471862793,0.0192048549652 0.0471189618111 -0.0104203820229 0.0198763012886 -0.0212351679802 0.0384871214628 0.000982105731964,0.07089308950888605,-3.01685452461 -0.636478960514 0.849188864231 0.359930068254 -0.763419926167 0.0312355291098 0.994525134563,-3.01681947708 -0.636547386646 0.849186003208 0.359868854284 -0.763401687145 0.0312882214785 0.994491994381,3.50475311279e-05 -6.84261322021e-05 -2.86102294922e-06 -6.12139701843e-05 1.82390213013e-05 5.26923686266e-05 -3.31401824951e-05,0.0001177846335888998,0.001661440267378052,-0.255069274155221,0.14529569943612408,0.17291805586265865,0.14527915296059707,0,-2.89468383789 -0.547584831715 0.898349821568 0.389623343945 -0.695159614086 0.0235529318452 0.941524744034,-2.89424300194 -0.549460947514 0.898342013359 0.388087213039 -0.69417744875 0.0242563262582 0.941596269608,0.000440835952759 -0.00187611579895 -7.80820846558e-06 -0.00153613090515 0.000982165336609 0.000703394412994 7.15255737305e-05,0.0027456209335159714,0.038729034840156364,-0.534819563174036,0.17066142719841046,0.16819660561929756,0.17006646632525463,1
54,292,2,84,6,-1.92718315125 -0.854136824608 1.3110203743 1.49335932732 -2.55472493172 0.347853004932 -0.6344140172,-1.88070583344 -0.818269312382 1.32921242714 1.481590271 -2.54021334648 0.332288354635 -0.607193529606,0.0464773178101 0.0358675122261 0.0181920528412 -0.0117690563202 0.0145115852356 -0.0155646502972 0.0272204875946,0.07148342722031668,-1.95071470737 -0.889050543308 1.24421977997 1.50370562077 -2.66485476494 0.336215555668 -0.635230362415,-1.95067429543 -0.889118492603 1.24418139458 1.50365412235 -2.66482758522 0.336273729801 -0.635209858418,4.04119491577e-05 -6.79492950439e-05 -3.83853912354e-05 -5.14984130859e-05 2.71797180176e-05 5.81741333008e-05 2.05039978027e-05,0.00012214392299685805,0.0017087026706260507,-0.0691841161211828,0.13640653902434668,0.18428724437260313,0.13640487619560374,0,-1.85514831543 -0.879963636398 1.18171715736 1.5335470438 -2.60966444016 0.346939653158 -0.668469190598,-1.85390484333 -0.881409168243 1.18261158466 1.5370541811 -2.61065387726 0.350632280111 -0.671367406845,0.0012434720993 -0.00144553184509 0.0008944272995 0.00350713729858 -0.000989437103271 0.00369262695312 -0.00289821624756,0.0063047549053093545,0.08819883363842755,-0.3767199581842487,0.16843204825074912,0.19669682586480522,0.17033165579797008,0
55,292,2,106,6,0.059593565762 1.27038741112 -1.44921875 -1.16901779175 2.01976752281 -0.0132344784215 -2.42207479477,0.0963226780295 1.31535053253 -1.45545709133 -1.22558426857 2.006731987 -0.00444240681827 -2.47435951233,0.0367291122675 0.0449631214142 -0.00623834133148 -0.0565664768219 -0.0130355358124 0.00879207160324 -0.0522847175598,0.09793013114040687,0.0876083076 1.27661383152 -1.54948854446 -1.18362557888 2.08089208603 -0.0707167834044 -2.37619757652,0.0876078307629 1.2766135931 -1.54948854446 -1.18362045288 2.08089160919 -0.0707201212645 -2.37619805336,-4.76837158203e-07 -2.38418579102e-07 0 5.12599945068e-06 -4.76837158203e-07 -3.33786010742e-06 -4.76837158203e-07,6.177066043868835e-06,6.307625622406749e-05,-0.5230322933799859,0.14225385747570032,0.17806580824964005,0.1422542169879739,0,0.062592998147 1.26690328121 -1.54212868214 -1.15395283699 2.08170795441 -0.0774340853095 -2.39945316315,0.0627486556768 1.2661241293 -1.54209852219 -1.15361046791 2.0821583271 -0.0776649937034 -2.39933252335,0.000155657529831 -0.000779151916504 3.01599502563e-05 0.00034236907959 0.000450372695923 -0.00023090839386 0.000120639801025,0.0010100204938626963,0.010313684686223734,-0.6377354412794105,0.13172049542604894,0.1814308363035468,0.13211087215856107,0
56,292,2,118,6,3.13789081573 -0.959340512753 0.323675990105 -1.14443075657 -2.40868806839 0.132348716259 0.495767861605,-3.20169663429 -0.948241889477 0.329355299473 -1.10669326782 -2.42723870277 0.125020876527 0.55351805687,-0.0564021428479 0.0110986232758 0.00567930936813 0.0377374887466 -0.0185506343842 -0.00732783973217 0.0577501952648,0.09216106603425941,-3.17726135254 -1.02952158451 0.272489577532 -1.16504263878 -2.41210126877 0.120186880231 0.562862575054,-3.17724323273 -1.02943050861 0.272565156221 -1.16491174698 -2.41212844849 0.120203092694 0.562846839428,1.81198120117e-05 9.10758972168e-05 7.55786895752e-05 0.000130891799927 -2.71797180176e-05 1.62124633789e-05 -1.57356262207e-05,0.0001808787970438764,0.001962637855953593,0.289997098090055,0.11684785974479087,0.11892278764391381,0.11672214678687894,0,-3.30022072792 -0.98682975769 0.265242516994 -1.14908528328 -2.29087233543 0.109797216952 0.483130246401,-3.2982313633 -0.992050290108 0.266685307026 -1.14918029308 -2.28848648071 0.116838075221 0.472720652819,0.00198936462402 -0.0052205324173 0.00144279003143 -9.5009803772e-05 0.00238585472107 0.00704085826874 -0.0104095935822,0.014033097545484884,0.15226709226940044,-0.6669314966323211,0.20674322021633074,0.20692550109639765,0.20724451225458612,1
